Numero Scheda;Nome File;Nome Prodotto;Elementi Etichetta;Peso Specifico (g/cm3);Caratteristiche Particelle;VOC Espressi;Limite Massimo VOC
111;SDS - RECOAT 1.0 MM ACRILICO BASE BO - IT - Rev. 1.pdf;RECOAT ACRILICO BASE BO;EUH071, EUH208, H301, H302, H310, H311, H314, H315, H317, H318, H319, H330, H372, H400, H410, H412, P101, P102, P273, P501;1.6 g/cm3 Metodo:Picnometro;non applicabile;8.13;40.00
112;SDS - RECOAT 1.0 MM ACRIL-SILOSSANICO BASE BIANCA - IT - Rev. 1.pdf;RECOAT ACRIL-SILOSSANICO BASE BIANCA;EUH071, EUH208, H301, H302, H310, H311, H314, H315, H317, H318, H319, H330, H372, H400, H410, H412, P101, P102, P273, P501;1.6 g/cm3 Metodo:Picnometro;non applicabile;8.13;40.00
113;SDS - RECOAT 1.0 MM ACRIL-SILOSSANICO BASE BO - IT - Rev. 1.pdf;RECOAT ACRIL-SILOSSANICO BASE BO;EUH071, EUH208, H301, H302, H310, H311, H314, H315, H317, H318, H319, H330, H372, H400, H410, H412, P101, P102, P273, P501;1.6 g/cm3 Metodo:Picnometro;non applicabile;8.13;40.00
130;SDS - RECOAT 1.2 MM ACRILICO BASE BIANCA - IT - Rev. 1.pdf;RECOAT ACRILICO BASE BIANCA;EUH071, EUH208, H301, H302, H310, H311, H314, H315, H317, H318, H319, H330, H372, H400, H410, H412, P101, P102, P273, P501;1.6 g/cm3 Metodo:Picnometro;non applicabile;8.13;40.00
131;SDS - RECOAT 1.2 MM ACRILICO BASE BO - IT - Rev. 1.pdf;RECOAT ACRILICO BASE BO;EUH071, EUH208, H301, H302, H310, H311, H314, H315, H317, H318, H319, H330, H372, H400, H410, H412, P101, P102, P273, P501;1.6 g/cm3 Metodo:Picnometro;non applicabile;8.13;40.00
132;SDS - RECOAT 1.2 MM ACRIL-SILOSSANICO BASE BIANCA - IT - Rev. 1.pdf;RECOAT ACRIL-SILOSSANICO BASE BIANCA;EUH071, EUH208, H301, H302, H310, H311, H314, H315, H317, H318, H319, H330, H372, H400, H410, H412, P101, P102, P273, P501;1.6 g/cm3 Metodo:Picnometro;non applicabile;8.13;40.00
133;SDS - RECOAT 1.2 MM ACRIL-SILOSSANICO BASE BO - IT - Rev. 1.pdf;RECOAT ACRIL-SILOSSANICO BASE BO;EUH071, EUH208, H301, H302, H310, H311, H314, H315, H317, H318, H319, H330, H372, H400, H410, H412, P101, P102, P273, P501;1.6 g/cm3 Metodo:Picnometro;non applicabile;8.13;40.00
140;SDS - RECOAT 1.5 MM ACRILICO BASE BIANCA - IT - Rev. 1.pdf;RECOAT ACRILICO BASE BIANCA;EUH071, EUH208, H301, H302, H310, H311, H314, H315, H317, H318, H319, H330, H372, H400, H410, H412, P101, P102, P273, P501;1.6 g/cm3 Metodo:Picnometro;non applicabile;8.13;40.00
141;SDS - RECOAT 1.5 MM ACRILICO BASE BO - IT - Rev. 1.pdf;RECOAT ACRILICO BASE BO;EUH071, EUH208, H301, H302, H310, H311, H314, H315, H317, H318, H319, H330, H372, H400, H410, H412, P101, P102, P273, P501;1.6 g/cm3 Metodo:Picnometro;non applicabile;8.13;40.00
142;SDS - RECOAT 1.5 MM ACRIL-SILOSSANICO BASE BIANCA - IT - Rev. 1.pdf;RECOAT ACRIL-SILOSSANICO BASE BIANCA;EUH071, EUH208, H301, H302, H310, H311, H314, H315, H317, H318, H319, H330, H372, H400, H410, H412, P101, P102, P273, P501;1.6 g/cm3 Metodo:Picnometro;non applicabile;8.13;40.00
143;SDS - RECOAT 1.5 MM ACRIL-SILOSSANICO BASE BO - IT - Rev. 1.pdf;RECOAT ACRIL-SILOSSANICO BASE BO;EUH071, EUH208, H301, H302, H310, H311, H314, H315, H317, H318, H319, H330, H372, H400, H410, H412, P101, P102, P273, P501;1.6 g/cm3 Metodo:Picnometro;non applicabile;8.13;40.00
198;SDS - DECORA - IT.pdf;DECORA BIANCO;Non classificato pericoloso;N/D;N/D;N/D;N/D
200;SDS - REONYX BASE BIANCA - IT - Rev. 3.pdf;REONYX base bianca;EUH071, EUH208, EUH210, H301, H302, H310, H311, H314, H315, H317, H318, H319, H330, H400, H410, P101, P102, P501;1.2 g/cm3 Metodo:Picnometro;non applicabile;6.05;30.00
